1, 9, 0, 0m13.759s, 1m1.487s, 0m2.992s
1, 8, 0, 0m14.156s, 1m6.026s, 0m3.199s
1, 7, 0, 0m13.906s, 1m12.063s, 0m3.682s
1, 6, 0, 0m15.291s, 1m18.091s, 0m3.929s
1, 5, 0, 0m17.204s, 1m26.619s, 0m4.303s
1, 4, 0, 0m20.377s, 1m39.383s, 0m5.329s
1, 3, 0, 0m25.612s, 1m59.402s, 0m6.396s
1, 2, 0, 0m37.968s, 2m40.491s, 0m9.036s
1, 1, 0, 1m13.076s, 4m46.518s, 0m17.097s
2, 1, 1, 1m11.632s, 4m48.276s, 0m17.455s
2, 1, 2, 1m6.837s, 4m41.505s, 0m16.988s
2, 1, 3, 1m1.544s, 4m33.529s, 0m8.864s
2, 1, 4, 0m59.485s, 4m31.023s, 0m9.657s
2, 1, 5, 0m58.150s, 4m29.866s, 0m10.046s
2, 2, 1, 1m6.348s, 4m41.704s, 0m16.736s
2, 2, 2, 1m1.864s, 4m30.041s, 0m11.341s
2, 2, 3, 0m57.418s, 4m28.797s, 0m9.943s
2, 2, 4, 0m55.516s, 4m27.182s, 0m9.511s
2, 2, 5, 0m54.721s, 4m26.708s, 0m9.492s
2, 3, 1, 1m2.804s, 4m34.249s, 0m10.069s
2, 3, 2, 0m59.028s, 4m28.054s, 0m10.275s
2, 3, 3, 0m56.040s, 4m25.489s, 0m9.564s
2, 3, 4, 0m56.246s, 4m25.509s, 0m11.417s
2, 3, 5, 0m54.767s, 4m25.559s, 0m10.493s
2, 4, 1, 0m59.509s, 4m31.476s, 0m8.531s
2, 4, 2, 0m56.550s, 4m27.830s, 0m9.972s
2, 4, 3, 0m54.961s, 4m26.413s, 0m9.923s
2, 4, 4, 0m53.837s, 4m25.767s, 0m9.655s
2, 4, 5, 0m55.125s, 4m23.894s, 0m10.654s
2, 5, 1, 1m0.057s, 4m28.627s, 0m11.002s
2, 5, 2, 0m56.312s, 4m25.847s, 0m10.068s
2, 5, 3, 0m54.152s, 4m25.751s, 0m9.541s
2, 5, 4, 0m54.192s, 4m25.725s, 0m10.562s
2, 5, 5, 0m51.509s, 4m24.732s, 0m7.661s
3, 1, 1, 0m47.642s, 2m42.259s, 0m10.573s
3, 1, 2, 0m43.061s, 2m41.817s, 0m10.165s
3, 1, 3, 0m43.875s, 2m42.477s, 0m8.645s
3, 1, 5, 0m43.769s, 2m43.248s, 0m9.017s
3, 2, 1, 0m46.557s, 2m42.086s, 0m10.748s
3, 2, 2, 0m43.294s, 2m43.724s, 0m8.730s
3, 2, 3, 0m41.565s, 2m45.362s, 0m8.768s
3, 2, 4, 0m40.811s, 2m46.800s, 0m8.869s
3, 2, 5, 0m41.995s, 2m49.898s, 0m9.261s
3, 3, 1, 0m47.437s, 3m15.641s, 0m8.592s
3, 3, 2, 0m53.470s, 3m52.086s, 0m9.709s
3, 3, 3, 0m44.565s, 3m16.961s, 0m9.019s
3, 3, 4, 0m39.345s, 2m53.869s, 0m9.006s
3, 3, 5, 0m38.631s, 2m49.867s, 0m9.225s
3, 4, 1, 0m39.254s, 2m46.651s, 0m7.877s
3, 4, 2, 0m38.574s, 2m50.448s, 0m8.134s
3, 4, 3, 0m41.289s, 2m49.348s, 0m9.061s
3, 4, 4, 0m41.025s, 2m48.371s, 0m9.651s
3, 4, 5, 0m39.753s, 2m51.059s, 0m10.303s
3, 5, 1, 0m40.482s, 2m48.353s, 0m8.212s
3, 5, 2, 0m38.705s, 2m50.286s, 0m8.492s
3, 5, 3, 0m38.609s, 2m50.923s, 0m9.255s
3, 5, 4, 0m39.175s, 2m50.887s, 0m9.890s
3, 5, 5, 0m39.610s, 2m52.229s, 0m10.531s
4, 0, 0, 0m0.208s, 0m0.044s, 0m0.018s
4, 1, 0, 1m13.739s, 4m46.833s, 0m18.052s
4, 2, 0, 1m17.116s, 4m35.483s, 0m11.378s
4, 3, 0, 1m2.634s, 5m31.972s, 0m11.598s
4, 4, 0, 0m57.864s, 6m39.433s, 0m10.115s
4, 5, 0, 1m0.673s, 7m28.300s, 0m6.305s
4, 6, 0, 1m4.262s, 8m8.751s, 0m4.976s
4, 7, 0, 1m7.948s, 8m50.701s, 0m4.336s
4, 8, 0, 1m12.880s, 9m29.941s, 0m4.703s
4, 9, 0, 1m17.960s, 10m8.869s, 0m5.298s
5, 1, 1, 0m47.221s, 3m39.899s, 0m8.668s
5, 1, 2, 0m48.077s, 4m31.207s, 0m10.328s
5, 1, 3, 0m54.511s, 5m52.020s, 0m6.445s
5, 1, 4, 1m10.842s, 7m58.410s, 0m7.270s
5, 1, 5, 1m23.782s, 10m1.416s, 0m8.065s
5, 2, 1, 0m48.674s, 4m34.448s, 0m10.550s
5, 2, 2, 1m14.127s, 8m12.805s, 0m7.518s
5, 2, 3, 1m35.274s, 12m13.039s, 0m7.460s
5, 2, 4, 2m4.350s, 16m16.996s, 0m6.519s
5, 2, 5, 2m57.605s, 23m16.731s, 0m7.501s
5, 3, 1, 0m55.167s, 5m55.399s, 0m6.447s
5, 3, 2, 1m33.758s, 12m0.209s, 0m7.476s
5, 3, 3, 2m31.316s, 19m31.584s, 0m7.144s